iter	Passed	Remaining
0	104	104743
1	110	55035
2	115	38446
3	120	29969
4	125	24941
5	129	21525
6	134	19145
7	140	17362
8	144	15937
9	149	14787
10	154	13869
11	159	13096
12	163	12444
13	168	11869
14	173	11410
15	178	10975
16	183	10594
17	188	10280
18	194	10030
19	199	9764
20	204	9526
21	208	9288
22	213	9083
23	218	8899
24	224	8747
25	229	8585
26	234	8448
27	239	8317
28	244	8186
29	249	8061
30	254	7952
31	259	7845
32	264	7747
33	269	7654
34	274	7556
35	278	7470
36	284	7399
37	289	7318
38	294	7244
39	299	7180
40	304	7128
41	309	7061
42	314	7003
43	320	6958
44	325	6903
45	330	6847
46	335	6793
47	339	6734
48	344	6687
49	349	6639
50	353	6585
51	358	6532
52	362	6482
53	367	6436
54	371	6387
55	376	6344
56	381	6306
57	385	6264
58	389	6219
59	395	6189
60	400	6164
61	404	6126
62	409	6090
63	414	6061
64	419	6027
65	424	6001
66	429	5974
67	434	5949
68	439	5925
69	444	5901
70	448	5873
71	453	5844
72	457	5814
73	462	5790
74	467	5762
75	471	5737
76	477	5718
77	481	5696
78	486	5677
79	491	5651
80	496	5633
81	501	5609
82	505	5587
83	510	5572
84	516	5559
85	521	5539
86	526	5526
87	531	5511
88	536	5490
89	540	5469
90	545	5448
91	550	5428
92	554	5410
93	560	5397
94	564	5380
95	569	5365
96	574	5348
97	579	5334
98	584	5317
99	588	5298
100	594	5288
101	599	5273
102	603	5255
103	608	5242
104	613	5227
105	617	5210
106	622	5198
107	627	5183
108	632	5166
109	636	5151
110	641	5138
111	646	5123
112	650	5108
113	655	5094
114	660	5080
115	664	5065
116	669	5049
117	674	5038
118	678	5023
119	683	5009
120	687	4996
121	693	4990
122	698	4978
123	703	4970
124	708	4960
125	713	4951
126	718	4941
127	724	4932
128	728	4918
129	733	4906
130	737	4895
131	742	4883
132	747	4871
133	752	4861
134	756	4848
135	761	4836
136	765	4823
137	770	4814
138	775	4802
139	780	4791
140	784	4781
141	789	4770
142	794	4759
143	798	4746
144	803	4738
145	808	4729
146	812	4717
147	818	4711
148	823	4700
149	827	4690
150	832	4680
151	837	4672
152	842	4663
153	846	4652
154	851	4643
155	856	4632
156	860	4621
157	865	4612
158	869	4601
159	874	4590
160	878	4579
161	883	4571
162	888	4562
163	893	4553
164	897	4544
165	902	4534
166	907	4526
167	911	4516
168	917	4511
169	922	4502
170	927	4494
171	932	4489
172	937	4480
173	941	4470
174	947	4465
175	952	4457
176	956	4448
177	961	4438
178	966	4430
179	970	4422
180	975	4414
181	980	4406
182	984	4397
183	989	4387
184	994	4380
185	998	4371
186	1003	4363
187	1008	4354
188	1013	4347
189	1018	4341
190	1023	4333
191	1027	4325
192	1032	4317
193	1036	4308
194	1041	4298
195	1046	4291
196	1050	4283
197	1055	4276
198	1061	4271
199	1066	4264
200	1070	4256
201	1075	4248
202	1080	4241
203	1084	4233
204	1089	4225
205	1094	4219
206	1099	4212
207	1104	4204
208	1109	4198
209	1114	4193
210	1119	4185
211	1124	4180
212	1129	4174
213	1134	4165
214	1138	4157
215	1143	4152
216	1148	4144
217	1152	4135
218	1158	4130
219	1162	4123
220	1168	4117
221	1173	4112
222	1178	4106
223	1183	4099
224	1188	4093
225	1193	4087
226	1198	4080
227	1203	4074
228	1208	4069
229	1214	4065
230	1220	4061
231	1225	4057
232	1230	4051
233	1236	4046
234	1241	4042
235	1246	4035
236	1251	4028
237	1256	4023
238	1261	4016
239	1266	4010
240	1271	4005
241	1276	3999
242	1281	3992
243	1286	3985
244	1291	3979
245	1296	3973
246	1301	3968
247	1307	3963
248	1311	3956
249	1316	3949
250	1322	3946
251	1327	3939
252	1331	3932
253	1337	3928
254	1342	3920
255	1346	3914
256	1352	3910
257	1358	3907
258	1363	3901
259	1369	3899
260	1375	3893
261	1380	3889
262	1386	3885
263	1391	3878
264	1396	3872
265	1401	3868
266	1407	3863
267	1412	3856
268	1417	3852
269	1422	3845
270	1427	3839
271	1432	3834
272	1437	3827
273	1441	3820
274	1446	3814
275	1452	3809
276	1457	3803
277	1461	3796
278	1467	3792
279	1472	3785
280	1476	3778
281	1481	3772
282	1486	3765
283	1490	3758
284	1495	3752
285	1500	3746
286	1505	3741
287	1511	3736
288	1516	3731
289	1521	3724
290	1525	3717
291	1531	3712
292	1535	3706
293	1540	3699
294	1546	3695
295	1551	3690
296	1556	3683
297	1561	3677
298	1565	3670
299	1570	3664
300	1575	3657
301	1580	3652
302	1584	3645
303	1589	3638
304	1594	3632
305	1598	3626
306	1603	3620
307	1608	3614
308	1613	3609
309	1618	3602
310	1623	3596
311	1628	3590
312	1633	3584
313	1638	3580
314	1643	3574
315	1648	3568
316	1653	3562
317	1658	3557
318	1663	3550
319	1667	3543
320	1671	3536
321	1676	3530
322	1681	3524
323	1686	3517
324	1690	3511
325	1695	3505
326	1699	3498
327	1704	3492
328	1709	3487
329	1714	3481
